Try_index N kappa_old kappa_new time_rescaled mag
0 40000.000000 0.318639 1.154858 1910.000000 0.914000
0 40000.000000 0.318639 1.154858 1910.000000 0.914000
0 40000.000000 0.318639 1.154858 1910.000000 0.914000
0 40000.000000 0.318639 1.154858 1910.000000 0.914000
0 40000.000000 0.318639 1.154858 1911.000000 0.913950
0 40000.000000 0.318639 1.154858 1911.000000 0.913950
0 40000.000000 0.318639 1.154858 1913.000000 0.913950
0 40000.000000 0.318639 1.154858 1915.000000 0.913950
0 40000.000000 0.318639 1.154858 1920.000000 0.913800
0 40000.000000 0.318639 1.154858 1920.000000 0.913800
0 40000.000000 0.318639 1.154858 1921.000000 0.913850
0 40000.000000 0.318639 1.154858 1921.000000 0.913850
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1922.000000 0.913800
0 40000.000000 0.318639 1.154858 1923.000000 0.913850
0 40000.000000 0.318639 1.154858 1923.000000 0.913850
0 40000.000000 0.318639 1.154858 1923.000000 0.913850
0 40000.000000 0.318639 1.154858 1923.000000 0.913850
0 40000.000000 0.318639 1.154858 1923.000000 0.913850
0 40000.000000 0.318639 1.154858 1923.000000 0.913850
0 40000.000000 0.318639 1.154858 1923.000000 0.913850
0 40000.000000 0.318639 1.154858 1924.000000 0.913800
0 40000.000000 0.318639 1.154858 1924.000000 0.913800
0 40000.000000 0.318639 1.154858 1925.000000 0.913850
0 40000.000000 0.318639 1.154858 1925.000000 0.913850
0 40000.000000 0.318639 1.154858 1925.000000 0.913850
0 40000.000000 0.318639 1.154858 1926.000000 0.913800
0 40000.000000 0.318639 1.154858 1928.000000 0.913800
0 40000.000000 0.318639 1.154858 1929.000000 0.913750
0 40000.000000 0.318639 1.154858 1932.000000 0.913600
0 40000.000000 0.318639 1.154858 1933.000000 0.913550
0 40000.000000 0.318639 1.154858 1934.000000 0.913500
0 40000.000000 0.318639 1.154858 1934.000000 0.913500
0 40000.000000 0.318639 1.154858 1934.000000 0.913500
0 40000.000000 0.318639 1.154858 1934.000000 0.913500
0 40000.000000 0.318639 1.154858 1934.000000 0.913500
0 40000.000000 0.318639 1.154858 1934.000000 0.913500
0 40000.000000 0.318639 1.154858 1934.000000 0.913500
0 40000.000000 0.318639 1.154858 1935.000000 0.913550
0 40000.000000 0.318639 1.154858 1937.000000 0.913450
0 40000.000000 0.318639 1.154858 1939.000000 0.913350
0 40000.000000 0.318639 1.154858 1939.000000 0.913350
0 40000.000000 0.318639 1.154858 1940.000000 0.913300
0 40000.000000 0.318639 1.154858 1941.000000 0.913250
